 ,BTC,ETH,ETC,LSK,FCT,XMR,REP,XRP,ZEC,XEM,LTC,DASH,BCH,BNB,USDT
2017/01/01,117353,995.15,175.08,19.021,346.78,1643.5,460.93,0.777,5742.4,0.433,531.61,1376.8,,,117.1535
2017/01/02,121865,972,166.65,18.793,344.41,1722.6,471.28,0.752,5849.5,0.411,551.2,1385.6,,,117.6045
2017/01/03,122160,1068.2,181.62,18.782,378.95,1999.1,498.99,0.767,5829.8,0.415,540.85,1524.7,,,117.4755
2017/01/04,132511,1282.3,189.36,20.468,426.25,2079.1,569.8,0.807,6457.7,0.431,562.54,1931.5,,,116.2715
2017/01/05,112490,1140.6,185.73,17.632,362.22,1802.1,503.8,0.73,5743.2,0.422,510.39,1601.2,,,116.1365
2017/01/06,108999,1199,173.84,16.825,349.86,1687.1,534.76,0.777,5724.1,0.401,472.32,1605.7,,,116.1365
2017/01/07,108300,1216.5,174.86,17.245,330.76,1620.3,581.58,0.754,5589.4,0.404,482.48,1484.8,,,116.1365
2017/01/08,110480,1222.7,175.03,17.405,350.11,1648.9,551.6,0.768,5532.3,0.405,481.15,1527.9,,,116.512
2017/01/09,106023,1272.3,169.23,17.521,349.88,1549.9,516.66,0.727,5385.1,0.419,464.4,1484,,,115.876
2017/01/10,106969,1242.8,169.01,18.293,345.51,1615.6,496.36,0.774,5347.4,0.423,530.35,1497.5,,,115.575
2017/01/11,96305,1172.6,147.44,17.239,308.55,1422.5,449,0.796,4933.4,0.395,469.59,1372.3,,,115.0445
2017/01/12,89332,1088.8,134.59,15.39,319.33,1306,429.92,0.773,5200.9,0.396,454.01,1324.8,,,114.588
2017/01/13,93511,1107.6,139.44,16.318,320.74,1331.1,477.73,0.749,5012.2,0.424,457.16,1402.7,,,114.588
2017/01/14,94942,1102.3,137.44,16.664,326.13,1333.9,492.73,0.774,4938.9,0.419,450.02,1431.3,,,114.588
2017/01/15,94127,1126.4,136.11,18.615,316.97,1174.7,470.63,0.789,5021.7,0.416,446.92,1411,,,114.2535
2017/01/16,95620,1113.9,136.84,17.838,345.43,1198.7,468.39,0.786,5020.1,0.427,447.82,1455.2,,,113.3975
2017/01/17,101298,1163.7,137.98,17.964,352.41,1316.3,489.08,0.766,5086.5,0.409,448.79,1610.9,,,113.634
2017/01/18,98540,1139.9,132.88,17.596,333.11,1337.8,471.43,0.762,4813.6,0.399,439.2,1552.6,,,114.7535
2017/01/19,101967,1169,132.68,17.869,342.63,1370,506.6,0.772,4997.3,0.41,447.25,1695.2,,,114.726
